acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists
0.00394,https://api.spotify.com/v1/audio-analysis/4RkW1lSynjrfOhyzBwbLis,0.469,259854,0.816,4RkW1lSynjrfOhyzBwbLis,1.89e-06,11,0.127,-5.369,0,0.0877,108.03,4,https://api.spotify.com/v1/tracks/4RkW1lSynjrfOhyzBwbLis,audio_features,spotify:track:4RkW1lSynjrfOhyzBwbLis,0.505,2019-11-21T21:38:20Z,Stayin' Alive,Tropical Fuck Storm
0.0307,https://api.spotify.com/v1/audio-analysis/5kczO6LA5FGU3iEAxrAhN5,0.606,258840,0.766,5kczO6LA5FGU3iEAxrAhN5,0.0398,2,0.238,-9.0,1,0.0472,98.661,4,https://api.spotify.com/v1/tracks/5kczO6LA5FGU3iEAxrAhN5,audio_features,spotify:track:5kczO6LA5FGU3iEAxrAhN5,0.7,2019-11-19T23:09:12Z,Every 1's a Winner,Ty Segall
0.0141,https://api.spotify.com/v1/audio-analysis/34LCMPGuYjzcBzEMnFg6yW,0.738,187080,0.719,34LCMPGuYjzcBzEMnFg6yW,0.000987,8,0.0671,-5.598,0,0.044,100.015,4,https://api.spotify.com/v1/tracks/34LCMPGuYjzcBzEMnFg6yW,audio_features,spotify:track:34LCMPGuYjzcBzEMnFg6yW,0.918,2019-11-18T14:30:58Z,Music Is My Hot Hot Sex,CSS
0.000908,https://api.spotify.com/v1/audio-analysis/7MNTf5d8T971NWUcqhgPlH,0.706,268858,0.72,7MNTf5d8T971NWUcqhgPlH,0.0765,0,0.0487,-7.581,1,0.0246,91.985,4,https://api.spotify.com/v1/tracks/7MNTf5d8T971NWUcqhgPlH,audio_features,spotify:track:7MNTf5d8T971NWUcqhgPlH,0.846,2019-11-16T20:44:49Z,Summer,Skinshape
0.592,https://api.spotify.com/v1/audio-analysis/6CVatILuDm42xjs8lCsyvR,0.447,256231,0.661,6CVatILuDm42xjs8lCsyvR,2.82e-06,9,0.107,-6.463,0,0.499,76.218,4,https://api.spotify.com/v1/tracks/6CVatILuDm42xjs8lCsyvR,audio_features,spotify:track:6CVatILuDm42xjs8lCsyvR,0.345,2019-11-15T12:56:10Z,In Sônia (Sônia in My Mind),"JOCA,Ana Frango Elétrico"
0.0391,https://api.spotify.com/v1/audio-analysis/4UfP2pbGmqT7v7CZkXQ8K0,0.432,237120,0.861,4UfP2pbGmqT7v7CZkXQ8K0,0.000945,9,0.0685,-5.693,1,0.123,120.752,4,https://api.spotify.com/v1/tracks/4UfP2pbGmqT7v7CZkXQ8K0,audio_features,spotify:track:4UfP2pbGmqT7v7CZkXQ8K0,0.207,2019-11-10T14:44:09Z,I Got You (At the End of the Century),Wilco
0.0125,https://api.spotify.com/v1/audio-analysis/6WrI0LAC5M1Rw2MnX2ZvEg,0.794,183290,0.793,6WrI0LAC5M1Rw2MnX2ZvEg,0.0,11,0.0952,-4.521,0,0.0842,123.941,4,https://api.spotify.com/v1/tracks/6WrI0LAC5M1Rw2MnX2ZvEg,audio_features,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.677,2019-11-02T14:55:07Z,Don't Start Now,Dua Lipa
0.261,https://api.spotify.com/v1/audio-analysis/2p89HbwMWzN0fvIb2mmaIg,0.527,286240,0.294,2p89HbwMWzN0fvIb2mmaIg,0.921,2,0.236,-10.272,0,0.0301,130.631,4,https://api.spotify.com/v1/tracks/2p89HbwMWzN0fvIb2mmaIg,audio_features,spotify:track:2p89HbwMWzN0fvIb2mmaIg,0.373,2019-10-30T13:33:48Z,Gila,Beach House
0.212,https://api.spotify.com/v1/audio-analysis/4sri8EK0L50ySCZw2vsj4e,0.655,259548,0.883,4sri8EK0L50ySCZw2vsj4e,0.445,5,0.185,-5.438,0,0.0717,105.024,4,https://api.spotify.com/v1/tracks/4sri8EK0L50ySCZw2vsj4e,audio_features,spotify:track:4sri8EK0L50ySCZw2vsj4e,0.696,2019-10-29T22:51:24Z,Libertação,"Elza Soares,BaianaSystem,Virgínia Rodrigues"
0.223,https://api.spotify.com/v1/audio-analysis/4GLXBNRrDFrA2d0990Nucl,0.643,188067,0.857,4GLXBNRrDFrA2d0990Nucl,0.0,2,0.177,-6.138,0,0.148,141.979,4,https://api.spotify.com/v1/tracks/4GLXBNRrDFrA2d0990Nucl,audio_features,spotify:track:4GLXBNRrDFrA2d0990Nucl,0.717,2019-10-29T22:45:12Z,Capim Guiné,"BaianaSystem,Titica,Margareth Menezes"
0.0476,https://api.spotify.com/v1/audio-analysis/3O8X1DE9btbzy4UH9cSX9a,0.598,274294,0.71,3O8X1DE9btbzy4UH9cSX9a,1.77e-05,0,0.1,-6.839,0,0.0272,97.976,4,https://api.spotify.com/v1/tracks/3O8X1DE9btbzy4UH9cSX9a,audio_features,spotify:track:3O8X1DE9btbzy4UH9cSX9a,0.726,2019-10-28T16:42:11Z,Borderline,Tame Impala
0.385,https://api.spotify.com/v1/audio-analysis/1Yf7ukxXKCF5TOFkyQW4vp,0.883,183942,0.626,1Yf7ukxXKCF5TOFkyQW4vp,0.0,0,0.101,-10.298,1,0.508,137.121,4,https://api.spotify.com/v1/tracks/1Yf7ukxXKCF5TOFkyQW4vp,audio_features,spotify:track:1Yf7ukxXKCF5TOFkyQW4vp,0.716,2019-10-20T14:52:06Z,Corehardcoreh,Vandal
0.352,https://api.spotify.com/v1/audio-analysis/2apLrBlEQvFa8ob0dQcu6i,0.622,206813,0.512,2apLrBlEQvFa8ob0dQcu6i,0.405,2,0.109,-7.44,0,0.0383,169.983,4,https://api.spotify.com/v1/tracks/2apLrBlEQvFa8ob0dQcu6i,audio_features,spotify:track:2apLrBlEQvFa8ob0dQcu6i,0.614,2019-10-20T14:29:23Z,Good Luck,Broken Bells
0.026,https://api.spotify.com/v1/audio-analysis/0AJrAnMeFDG04VHuuvrC9Y,0.551,321667,0.806,0AJrAnMeFDG04VHuuvrC9Y,0.00122,11,0.0762,-8.328,0,0.0558,143.876,4,https://api.spotify.com/v1/tracks/0AJrAnMeFDG04VHuuvrC9Y,audio_features,spotify:track:0AJrAnMeFDG04VHuuvrC9Y,0.671,2019-10-03T13:24:06Z,Jah Jah Revolta,BaianaSystem
